#
#  metacyc 19.5 Pathways link table generated on Tue Oct 6, 2015
#
PWY-6012-1	acyl carrier protein activation	[acp] metabolism	ACP metabolism
PWY-5143	long-chain fatty acid activation	long-chain acyl-CoA synthetase pathway
PWY0-845	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	vitamin B<sub>6</sub> biosynthesis and salvage
PWY-7204	pyridoxal 5'-phosphate salvage II (plants)	vitamin B6 salvage (plants)
PWY-6466	pyridoxal 5'-phosphate biosynthesis II	vitamin B6 biosynthesis
PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis I	vitamin B<sub>6</sub> biosynthesis
PLPSAL-PWY	pyridoxal 5'-phosphate salvage I	vitamin B<sub>6</sub> salvage I
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	vitamin H biosynthesis
PWY-5005	biotin biosynthesis II	vitamin H biosynthesis
PWY-7380	biotin biosynthesis from 8-amino-7-oxononanoate II	biotin biosynthesis from 7-keto-8-aminopelargonate II
PWY0-1507	biotin biosynthesis from 8-amino-7-oxononanoate I	biotin biosynthesis from 7-keto-8-aminopelargonate
PWY-6519	8-amino-7-oxononanoate biosynthesis I	7-keto-8-aminopelargonate biosynthesis I
PWY-7147	8-amino-7-oxononanoate biosynthesis II	7-keto-8-aminopelargonate biosynthesis II
PWY-6578	8-amino-7-oxononanoate biosynthesis III	7-keto-8-aminopelargonate biosynthesis III
1CMET2-PWY	<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis	<i>N</i><sup>10</sup>-formyl-THF biosynthesis
FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	
PWY-2161	folate polyglutamylation	
PWY-2161B	glutamate removal from folates	
PWY-6543	4-aminobenzoate biosynthesis	pABA biosynthesis	plastidial PABA biosynthesis	PABA biosynthesis in plastids	<i>p</i>-aminobenzoate biosynthesis
PWY-6612	superpathway of tetrahydrofolate biosynthesis	folic acid biosynthesis	folate biosynthesis	THF biosynthesis
PWY-6613	tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate	folic acid salvage	folate salvage	THF salvage
PWY-6614	tetrahydrofolate biosynthesis	folic acid biosynthesis	folate biosynthesis	THF biosynthesis
PWY-7539	6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	
PWY-6797	6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (archaea)	
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	
PWY-2201	folate transformations I	
PWY-3841	folate transformations II	
PWY-6875	retinoate biosynthesis II	retinoic acid biosynthesis
PWY-6872	retinoate biosynthesis I	retinoic acid biosynthesis
PWY-6857	retinol biosynthesis	vitamin A biosynthesis	retinal biosynthesis	retinoid biosynthesis
PWY-7043	11-<i>cis</i>-3-hydroxyretinal biosynthesis	
PWY-7042	the visual cycle (insects)	
PWY-7041	the visual cycle II (molluscs)	the visual cycle II (cephalopods)
PWY-6861	the visual cycle I (vertebrates)	
PWY-6030	serotonin and melatonin biosynthesis	
PWY-6241	thyroid hormone biosynthesis	
PWY-6575	juvenile hormone III biosynthesis I	JH III biosynthesis	methyl-10R,11-epoxy-3,7,11-trimethyl-2E,6E-dodecadienoate biosynthesis	methyl (2E,6E)-(10R)-10,11-epoxy-3,7,11-trimethyl-2,6-dodecadienoate biosynthesis
PWY-6650	juvenile hormone III biosynthesis II	JH III biosynthesis	methyl-10R,11-epoxy-3,7,11-trimethyl-2E,6E-dodecadienoate biosynthesis	methyl (2E,6E)-(10R)-10,11-epoxy-3,7,11-trimethyl-2,6-dodecadienoate biosynthesis
PWY-7299	progesterone biosynthesis	
PWY-7300	ecdysone and 20-hydroxyecdysone biosynthesis	ecdysteroid biosynthesis
PWY-7305	superpathway of steroid hormone biosynthesis	
PWY-7306	estradiol biosynthesis II	estrogen biosynthesis II
PWY-7410	ipsdienol biosynthesis	
PWY-7423	bombykol biosynthesis	(<i>E,Z</i>)-10,12-hexadecadien-1-ol biosynthesis
PWY-7654	(8<i>E</i>,10<i>E</i>)-dodeca-8,10-dienol biosynthesis	
PWY-7656	<i>Spodoptera littoralis</i> pheromone biosynthesis	(9<i>Z</i>,11<i>E</i>)-tetradeca-9,11-dien-1-yl acetate biosynthesis
PWY66-301	catecholamine biosynthesis	dopamine biosynthesis	noradrenaline biosynthesis	adrenaline biosynthesis
PWY66-374	C20 prostanoid biosynthesis	
PWY66-375	leukotriene biosynthesis	
PWY66-377	pregnenolone biosynthesis	
PWY66-378	androgen biosynthesis	testosterone biosynthesis
PWY66-380	estradiol biosynthesis I (via estrone)	estrogen biosynthesis I
PWY66-381	glucocorticoid biosynthesis	cortisol biosynthesis
PWY66-382	mineralocorticoid biosynthesis	aldosterone biosynthesis	corticosterone biosynthesis
PWY66-392	lipoxin biosynthesis	
PWY66-393	aspirin-triggered lipoxin biosynthesis	
PWY66-394	aspirin triggered resolvin E biosynthesis	
PWY66-395	aspirin triggered resolvin D biosynthesis	
PWY66-397	resolvin D biosynthesis	
PWY-7101	5-deoxystrigol biosynthesis	
PWY-695	abscisic acid biosynthesis	ABA synthesis
PWY4FS-17	abscisic acid biosynthesis shunt	abscisate biosynthesis shunt	ABA shunt
PWY-5271	phaseic acid biosynthesis	abscisate degradation I	abscisic acid degradation I	ABA hydroxylation pathway	abscisic acid hydroxylation pathway	8'-hydroxylation pathway
PWY-7642	7'-hydroxyabscisate biosynthesis	
PWY-7640	neophaseic acid biosynthesis	
PWY-3161	indole-3-acetate biosynthesis III (bacteria)	IAA biosynthesis III (bacteria)
PWY-581	indole-3-acetate biosynthesis II	auxin biosynthesis	indole-3-acetic acid biosynthesis	IAA de novo synthesis	IAA biosynthesis II
TRPIAACAT-PWY	L-tryptophan degradation VII (via indole-3-pyruvate)	
PWY-5026	indole-3-acetate biosynthesis V (bacteria and fungi)	IAA biosynthesis V (bacteria and fungi)
PWYDQC-4	indole-3-acetate biosynthesis I	auxin biosynthesis	IPA auxin biosynthesis	IAA biosynthesis I
PWY-5025	indole-3-acetate biosynthesis IV (bacteria)	IAA biosynthesis IV (bacteria)
PWY-699	brassinosteroid biosynthesis I	brassinosteroid biosynthesis - early and late C-6 oxidation pathways
PWY-2582	brassinosteroid biosynthesis II	brassinosteroid biosynthesis - C-22 oxidation branch
PWY-2881	cytokinins 7-<i>N</i>-glucoside biosynthesis	cytokinins conjugates biosynthesis
PWY-5967	lupinate biosynthesis	lupinic acid biosynthesis
PWY-2781	<i>cis</i>-zeatin biosynthesis	<i>cis</i>-cytokinins biosynthesis	tRNA-dependent cytokinin biosynthesis
PWY-2902	cytokinin-<i>O</i>-glucosides biosynthesis	
PWY-2681	<i>trans</i>-zeatin biosynthesis	<i>trans</i>-cytokinin biosynthesis	AMP-dependent cytokinin biosynthesis
PWY-2901	cytokinins 9-<i>N</i>-glucoside biosynthesis	
PWY-6854	ethylene biosynthesis III (microbes)	
PWY-6853	ethylene biosynthesis II (microbes)	
ETHYL-PWY	ethylene biosynthesis I (plants)	ethene biosynthesis from methionine
PWY-7124	ethylene biosynthesis V (engineered)	
PWY-5032	<i>ent</i>-kaurene biosynthesis I	
PWY-5034	GA<sub>12</sub> biosynthesis	gibberellin A<sub>12</sub> biosynthesis
PWY-5052	superpathway of gibberellin biosynthesis	
PWY-5053	superpathway of gibberellin GA<sub>12</sub> biosynthesis	
PWY-6653	<i>ent</i> -kaurene biosynthesis II	<i>ent</i> -kaurene biosynthesis in bryophyta	<i>ent</i> -kaurene biosynthesis in fungi
PWY-5047	gibberellin biosynthesis IV (<i>Gibberella fujikuroi</i>)	GA<sub>3</sub> biosynthesis
PWY-5036	gibberellin biosynthesis II (early C-3 hydroxylation)	
PWY-7232	gibberellin biosynthesis V	GA3 and GA6 biosynthesis (plants)
PWY-5035	gibberellin biosynthesis III (early C-13 hydroxylation)	
PWY-5070	gibberellin biosynthesis I (non C-3, non C-13 hydroxylation)	gibberellin biosynthesis I (late C-3 hydroxylation)	gibberellin biosynthesis I (late C-13 hydroxylation)
PWY-735	jasmonic acid biosynthesis	jasmonate biosynthesis
PWY-6235	hydroxyjasmonate sulfate biosynthesis	OHJA sulfate biosynthesis	hydroxyjasmonic acid sulfate biosynthesis
PWY-6233	jasmonoyl-amino acid conjugates biosynthesis II	jasmonate-amino acid conjugates biosynthesis	JA-amino acid conjugates biosynthesis	jasmonic acid-amino acid conjugates biosynthesis	jasmonoyl-amino acid biosynthesis	jasmonyl-amino acid conjugates biosynthesis
PWY-6220	jasmonoyl-amino acid conjugates biosynthesis I	JA-amino acid conjugates biosynthesis	jasmonate-amino acid conjugates biosynthesis	jasmonyl-amino acid conjugates biosynthesis	jasmonoyl-amino acid biosynthesis
PWY-6297	tuberonate glucoside biosynthesis	
PWY-6648	rhamnolipid biosynthesis	
PWY-6795	diacylglyceryl-<i>N,N,N</i>-trimethylhomoserine biosynthesis	betaine lipid biosynthesis
KDO-LIPASYN-PWY	(Kdo)<sub>2</sub>-lipid A biosynthesis I	
LIPA-CORESYN-PWY	Lipid A-core biosynthesis	
LPSSYN-PWY	superpathway of lipopolysaccharide biosynthesis	
PWY-401	galactolipid biosynthesis I	galactosylglyceride biosynthesis I
PWY-4762	superpathway of choline biosynthesis	
PWY-5142	acyl-ACP thioesterase pathway	
PWY-5148	acyl-CoA hydrolysis	acyl-CoA thioesterase pathway
PWY-5670	epoxysqualene biosynthesis	
PWY-5884	wax esters biosynthesis I	jojoba wax biosynthesis	liquid seed wax biosynthesis
PWY-5885	wax esters biosynthesis II	WS/DGAT biosynthesis	petunia wax biosynthesis
PWY-6129	dolichol and dolichyl phosphate biosynthesis	
PWY-6453	stigma estolide biosynthesis	
PWY-6803	phosphatidylcholine acyl editing	
PWY-6804	diacylglycerol biosynthesis (PUFA enrichment in oilseed)	
PWY-6818	ornithine lipid biosynthesis	ornithine amide lipid biosynthesis
PWY-7420	monoacylglycerol metabolism (yeast)	
PWY-7666	galactolipid biosynthesis II	galactosylglyceride biosynthesis II
PWY-7684	&alpha;-diglucosyldiacylglycerol biosynthesis	
PWY-7738	polyacyltrehalose biosynthesis	
PWY-7740	&beta;-D-mannosyl phosphomycoketide biosynthesis	
PWY-7741	phthiocerol biosynthesis	
PWY-782	glycolipid desaturation	fatty acid desaturation	polyunsaturated glycolipid biosynthesis
PWY0-1264	biotin-carboxyl carrier protein assembly	BCCP assembly
PWY3DJ-11281	sphingomyelin metabolism	
PWYQT-4427	sulfoquinovosyl diacylglycerol biosynthesis	SQDG biosynthesis
SOPHOROSYLOXYDOCOSANOATE-SYN-PWY	sophorolipid biosynthesis	sophorosyloxydocosanoate biosynthesis
TRIGLSYN-PWY	diacylglycerol and triacylglycerol biosynthesis	triglyceride biosynthesis	Kennedy pathway	TAG biosynthesis
PWY-3542	choline biosynthesis II	
PWY-3385	choline biosynthesis I	
PWY-3561	choline biosynthesis III	
FASYN-ELONG-PWY	fatty acid elongation -- saturated	
FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)	
PWY-4381	fatty acid biosynthesis initiation I	de novo fatty acid biosynthesis, initial reactions
PWY-5080	very long chain fatty acid biosynthesis I	VLCFAs biosynthesis I
PWY-5156	superpathway of fatty acid biosynthesis II (plant)	
PWY-5965	fatty acid biosynthesis initiation III	
PWY-5966	fatty acid biosynthesis initiation II	
PWY-5970	fatty acids biosynthesis (yeast)	type I fatty acids biosynthesis
PWY-6113	superpathway of mycolate biosynthesis	
PWY-6285	superpathway of fatty acids biosynthesis (<i>E. coli</i>)	
PWY-6429	ricinoleate biosynthesis	ricinoleic acid biosynthesis
PWY-6799	fatty acid biosynthesis (plant mitochondria)	
PWY-7036	very long chain fatty acid biosynthesis II	cerotate biosynthesis	hexacosanoate biosynthesis
PWY-7094	fatty acid salvage	&beta;-oxidation degradation - de novo fatty acid biosynthesis shunt
PWY-7388	octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	octanoyl-ACP biosynthesis (mitochondria, yeast)
PWY0-881	superpathway of fatty acid biosynthesis I (E. coli)	
PWYG-321	mycolate biosynthesis	
PWY0-541	cyclopropane fatty acid (CFA) biosynthesis	
PWY-4942	sterculate biosynthesis	cyclopropane and cyclopropene fatty acid biosynthesis
PWY-6917	vernolate biosynthesis III	oat seed peroxygenase pathway
PWY-6014	vernolate biosynthesis I	vernolic acid biosynthesis I
PWY-7634	vernolate biosynthesis II	vernolic acid biosynthesis II
PWY-6710	poly-hydroxy fatty acids biosynthesis	free fatty acid epoxidation via a P450
PWY-6433	hydroxylated fatty acid biosynthesis (plants)	
PWY-5994	palmitate biosynthesis I (animals and fungi)	palmitic acid biosynthesis	de novo lipogenesis
PWY-5971	palmitate biosynthesis II (bacteria and plants)	palmitic acid biosynthesis	de novo lipogenesis
PWY3O-355	stearate biosynthesis III (fungi)	fatty acid biosynthesis	stearic acid biosynthesis	octadecanoate biosynthesis	saturated fatty acid biosynthesis
PWY-5989	stearate biosynthesis II (bacteria and plants)	stearic acid biosynthesis
PWY-5972	stearate biosynthesis I (animals and fungi)	stearic acid biosynthesis
PWY-5361	(5<i>Z</i>)-icosenoate biosynthesis	&Delta;5-eicosenoic acid biosynthesis	&Delta;5-eicosenoate biosynthesis	&Delta;5-icosenoic acid biosynthesis	(5<i>Z</i>)-icos-5-enoate biosynthesis	&Delta;5-icosenoate biosynthesis
PWY-5362	sapienate biosynthesis	&Delta;6-hexadecenoic acid biosynthesis	&Delta;6-hexadecenoate biosynthesis
PWY-5367	petroselinate biosynthesis	petroselinic acid biosynthesis
PWY-5973	<i>cis</i>-vaccenate biosynthesis	<i>cis</i> vaccenic acid acid biosynthesis
PWY-6284	superpathway of unsaturated fatty acids biosynthesis (<i>E. coli</i>)	
PWY-7618	ricinoleate biosynthesis	
PWY-7663	gondoate biosynthesis (anaerobic)	<i>cis</i>-11-icosenoate biosynthesis	(11<i>Z</i>)-icos-11-enoate biosynthesis	(11<i>Z</i>)-icosenoate biosynthesis	gondoic acid biosynthesis	11-eicosenoic acid biosynthesis
PWY-7691	10,13-epoxy-11-methyl-octadecadienoate biosynthesis	
PWY0-862	(5Z)-dodec-5-enoate biosynthesis	(5Z)-dodecenoate biosynthesis	<i>cis</i>-dodecenoate biosynthesis
PWY-6603	dicranin biosynthesis	9,12,15-octadecatrien-6-ynoic acid biosynthesis
PWY-6013	crepenynate biosynthesis	crepenynic acid biosynthesis
PWY-7641	5-hexynoate biosynthesis	
PWY-5997	&alpha;-linolenate biosynthesis I (plants and red algae)	
PWY-7598	&alpha;-linolenate biosynthesis II (cyanobacteria)	
PWY-7594	&gamma;-linolenate biosynthesis III (cyanobacteria)	
PWY-6000	&gamma;-linolenate biosynthesis II (animals)	
PWY-5998	&gamma;-linolenate biosynthesis I (plants)	
PWY-5995	linoleate biosynthesis I (plants)	
PWY-7593	linoleate biosynthesis III (cyanobacteria)	
PWY-6001	linoleate biosynthesis II (animals)	
PWY-7587	oleate biosynthesis III (cyanobacteria)	
PWY-5996	oleate biosynthesis II (animals and fungi)	
PWY-5147	oleate biosynthesis I (plants)	stearoyl-ACP desaturation pathway
PWY-7664	oleate biosynthesis IV (anaerobic)	<i>cis</i>-7-hexadecenoate biosynthesis	<i>cis</i>-9-octadecenoate biosynthesis	(7<i>Z</i>)-hexadec-7-enoate biosynthesis	(9<i>Z</i>)-octadec-9-enoate biosynthesis	(7<i>Z</i>)-hexadecenoate biosynthesis	(9<i>Z</i>)-octadecenoate biosynthesis
PWY-6598	sciadonate biosynthesis	5,11,14-eicosatrienoic acid biosynthesis	5,11,14-eicosatrienoate biosynthesis	sciadonic acid biosynthesis
PWY-7152	pinolenate and coniferonate biosynthesis	pinolenic acid and coniferonic acid biosynthesis
PWY-7595	stearidonate biosynthesis (cyanobacteria)	
PWY-7596	superpathway of stearidonate biosynthesis (cyanobacteria)	
PWY-7619	juniperonate biosynthesis	5,11,14,17-icosatetraenoic acid biosynthesis	5,11,14,17-icosatetraenoate biosynthesis	juniperonic acid biosynthesis
PWY-7726	(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis (6-desaturase)	
PWY-7728	(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis II (4-desaturase)	
PWY-7583	arachidonate biosynthesis II (bacteria)	
PWY-7725	arachidonate biosynthesis V (8-detaturase, mammals)	
PWY-5353	arachidonate biosynthesis I (6-desaturase, lower eukaryotes)	arachidonic acid biosynthesis I (lower eukaryotes)
PWY-7601	arachidonate biosynthesis IV (8-detaturase, lower eukaryotes)	
PWY-7592	arachidonate biosynthesis III (6-desaturase, mammals)	arachidonic acid biosynthesis III (metazoa)
PWY-5368	dimorphecolate biosynthesis	dimorphecolic acid biosynthesis
PWY-5375	&alpha;-eleostearate biosynthesis	&alpha;-eleostearic acid biosynthesis
PWY-5374	punicate biosynthesis	punicic acid biosynthesis
PWY-5373	calendate biosynthesis	calendic acid biosynthesis
PWY-7590	(7Z,10Z,13Z)-hexadecatrienoate biosynthesis	
PWY-7606	docosahexaenoate biosynthesis III (6-desaturase, mammals)	
PWY-7585	docosahexaenoate biosynthesis II (bacteria)	
PWY-7053	docosahexaenoate biosynthesis I (lower eukaryotes)	
PWY-7727	docosahexaenoate biosynthesis IV (4-desaturase, mammals)	
PWY-6958	icosapentaenoate biosynthesis I (lower eukaryotes)	eicosapentaenoate biosynthesis I (lower eukaryotes)
PWY-7602	icosapentaenoate biosynthesis V (8-desaturase, lower eukaryotes)	
PWY-6940	icosapentaenoate biosynthesis III (fungi)	eicosapentaenoate biosynthesis III (fungi)
PWY-7050	icosapentaenoate biosynthesis IV (bacteria)	eicosapentaenoate biosynthesis IV (bacteria)
PWY-7049	icosapentaenoate biosynthesis II (6-desaturase, mammals)	eicosapentaenoic acid biosynthesis II	eicosapentaenoate biosynthesis II (metazoa)	iicosapentaenoic acid biosynthesis II
PWY-7724	icosapentaenoate biosynthesis III (8-desaturase, mammals)	eicosapentaenoic acid biosynthesis III	eicosapentaenoate biosynthesis III (metazoa)	iicosapentaenoic acid biosynthesis III
PWY-7589	palmitoleate biosynthesis III (cyanobacteria)	palmitoleic acid biosynthesis III (cyanobacteria)
PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	palmitoleic acid biosynthesis I	palmitoleate biosynthesis (anaerobic)
PWY-5366	palmitoleate biosynthesis II (plants and bacteria)	palmitoleic acid biosynthesis
PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis I (bacteria)	
PHOSLIPSYN2-PWY	superpathway of phospholipid biosynthesis II (plants)	phosphoglyceride biosynthesis
PWY-6141	archaetidylserine and archaetidylethanolamine biosynthesis	
PWY-6349	CDP-archaeol biosynthesis	
PWY-6350	archaetidylinositol biosynthesis	
PWY-6352	3-phosphoinositide biosynthesis	phosphatidylinositol-3,4-bisphosphate biosynthesis	phosphatidylinositol 3-phosphate biosynthesis	phosphatidylinositol-3,4,5-triphosphate biosynthesis
PWY-6367	D-<i>myo</i>-inositol-5-phosphate metabolism	
PWY-6371	superpathway of inositol phosphate compounds	
PWY-7039	phosphatidate metabolism, as a signaling molecule	PA metabolism
PWY-7417	phospholipid remodeling (phosphatidate, yeast)	
PWY-7501	phosphatidylserine biosynthesis I	
PWY-7506	phosphatidylserine biosynthesis II	
PWY-762	phospholipid desaturation	fatty acid desaturation	polyunsaturated phospholipid biosynthesis
PWY-5981	CDP-diacylglycerol biosynthesis III	
PWY-5667	CDP-diacylglycerol biosynthesis I	CDP-diacylglycerol biosynthesis
PWY0-1319	CDP-diacylglycerol biosynthesis II	
PWY-5269	cardiolipin biosynthesis II	
PWY0-1545	cardiolipin biosynthesis III	
PWY-7509	cardiolipin and phosphatidylethanolamine biosynthesis (<i>Xanthomonas</i>)	
PWY-5668	cardiolipin biosynthesis I	
PWY-6825	phosphatidylcholine biosynthesis V	
PWY-7470	phosphatidylcholine biosynthesis VII	
PWY4FS-3	phosphatidylcholine biosynthesis III	
PWY-7416	phospholipid remodeling (phosphatidylcholine, yeast)	
PWY4FS-2	phosphatidylcholine biosynthesis II	
PWY-6826	phosphatidylcholine biosynthesis VI	PCS pathway
PWY3O-450	phosphatidylcholine biosynthesis I	CDP-choline pathway
PWY4FS-4	phosphatidylcholine biosynthesis IV	
PWY-7409	phospholipid remodeling (phosphatidylethanolamine, yeast)	
PWY-6273	phosphatidylethanolamine biosynthesis III	
PWY4FS-6	phosphatidylethanolamine biosynthesis II	
PWY-5669	phosphatidylethanolamine biosynthesis I	
PWY4FS-8	phosphatidylglycerol biosynthesis II (non-plastidic)	
PWY4FS-7	phosphatidylglycerol biosynthesis I (plastidic)	
PWY-7625	phosphatidylinositol biosynthesis II (eukaryotes)	L-1-phosphatidyl-inositol biosynthesis II (eukaryotes)
PWY-6580	phosphatidylinositol biosynthesis I (bacteria)	L-1-phosphatidyl-inositol biosynthesis I (bacteria)
PWY-7404	ceramide phosphoethanolamine biosynthesis	sphingoethanolamine biosynthesis
PWY-7277	sphingolipid biosynthesis (mammals)	
SPHINGOLIPID-SYN-PWY	sphingolipid biosynthesis (yeast)	
PWY-5129	sphingolipid biosynthesis (plants)	ceramide biosynthesis (plants)
PWY3DJ-12	ceramide <i>de novo</i> biosynthesis	
PWY-2541	plant sterol biosynthesis	
PWY-6032	cardenolide biosynthesis	
PWY-6036	cardenolide glucosides biosynthesis	
PWY-6061	bile acid biosynthesis, neutral pathway	bile acid biosynthesis (classic pathway)
PWY-6074	zymosterol biosynthesis	
PWY-6132	lanosterol biosynthesis	
PWY-7155	7-dehydroporiferasterol biosynthesis	
PWY-7424	sterol:steryl ester interconversion (yeast)	
PWY-7455	allopregnanolone biosynthesis	
PWY-7588	ursodeoxycholate biosynthesis (bacteria)	ursodeoxycholic acid biosynthesis (bacteria)
PWY66-3	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)	
PWY66-341	cholesterol biosynthesis I	
PWY66-4	cholesterol biosynthesis III (via desmosterol)	
PWY66-5	superpathway of cholesterol biosynthesis	
PWY-6075	ergosterol biosynthesis I	ergosterol biosynthesis I (fungi)
ERGOSTEROL-SYN-PWY	superpathway of ergosterol biosynthesis I	superpathway of ergosterol biosynthesis I (fungi)
PWY-7156	superpathway of ergosterol biosynthesis II	superpathway of ergosterol biosynthesis II (green algae)
PWY-7154	ergosterol biosynthesis II	ergosterol biosynthesis II (<i>Chlamydomonas</i>)	ergosterol biosynthesis II (green algae)
PPGPPMET-PWY	ppGpp biosynthesis	guanosine 3'-diphosphate 5'-diphosphate biosynthesis
PWY-6100	L-carnitine biosynthesis	(<i>R</i>)-carnitine biosynthesis
PWY-6405	Rapoport-Luebering glycolytic shunt	
PWY-7535	lovastatin biosynthesis	
PWY66-420	carnosine biosynthesis	
PWY66-423	fructose 2,6-bisphosphate biosynthesis	
PWY-6158	creatine-phosphate biosynthesis	
PWY66-421	homocarnosine biosynthesis	
PWY-6845	nitric oxide biosynthesis (plants)	
PWY-6664	di-myo-inositol phosphate biosynthesis	
PWY-7054	<i>N</i>-acetylglutaminylglutamine amide biosynthesis	
PWY-6055	dimethylsulfoniopropanoate biosynthesis II (Spartina)	DMSP biosynthesis	dimethylsulfoniopropionate biosynthesis II (Spartina)
PWY-6054	dimethylsulfoniopropanoate biosynthesis I (Wollastonia)	DMSP biosynthesis	dimethylsulfoniopropionate biosynthesis I (Wollastonia)
PWY-6053	dimethylsulfoniopropanoate biosynthesis III (algae)	DMSP biosynthesis	dimethylsulfoniopropionate biosynthesis III (algae)
PWY-5662	glucosylglycerate biosynthesis I	
PWY-6685	glucosylglycerate biosynthesis II	
PWY-6686	mannosylglucosylglycerate biosynthesis I	
PWY-6687	mannosylglucosylglycerate biosynthesis II	
PWY-5658	mannosylglycerate biosynthesis II	
PWY-5656	mannosylglycerate biosynthesis I	
PWY-7227	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis	
PWY-7220	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II	
PWY-7226	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I	
PWY-7222	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II	
PWY-7198	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis IV	
PWY-7184	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I	
PWY-6545	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III	
PWY-7211	superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis	
PWY-7187	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II	
PWY0-166	superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (E. coli)	
PWY-6829	tRNA methylation (yeast)	
PWY-7375	mRNA capping I	
PWY0-1554	5-(carboxymethoxy)uridine biosynthesis	cmo<sup>5</sup>U34 tRNA biosynthesis	5-oxyacetyluridine biosynthesis
PWY-6689	tRNA splicing	
PWY-7286	7-(3-amino-3-carboxypropyl)-wyosine biosynthesis	yW-72 biosynthesis
PWY0-1479	tRNA processing	
PWY-6711	archaeosine biosynthesis	
PWY-7285	methylwyosine biosynthesis	
PWY-7379	mRNA capping II	
PWY0-1587	N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis	
PWY-6700	queuosine biosynthesis	
PWY-7283	wybutosine biosynthesis	
PWY-6794	adenosine 5'-phosphoramidate biosynthesis	
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	
DENOVOPURINE2-PWY	superpathway of purine nucleotides <i>de novo</i> biosynthesis II	
PWY-6125	superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II	
PWY-6126	superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II	
PWY-7228	superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I	
PWY-7229	superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I	
PWY-841	superpathway of purine nucleotides <i>de novo</i> biosynthesis I	purine biosynthesis 2
PWY-7219	adenosine ribonucleotides <i>de novo</i> biosynthesis	
PWY-7221	guanosine ribonucleotides <i>de novo</i> biosynthesis	
PWY-7234	inosine-5'-phosphate biosynthesis III	IMP biosynthesis I
PWY-6124	inosine-5'-phosphate biosynthesis II	IMP biosynthesis II
PWY-6123	inosine-5'-phosphate biosynthesis I	IMP biosynthesis I
PWY-7224	purine deoxyribonucleosides salvage	
PWY66-409	superpathway of purine nucleotide salvage	
SALVPURINE2-PWY	xanthine and xanthosine salvage	
PWY-6605	adenine and adenosine salvage II	adenosine nucleosides salvage II
PWY-6611	adenine and adenosine salvage V	adenosine nucleosides salvage V
P121-PWY	adenine and adenosine salvage I	purine salvage	salvage pathway of adenosine nucleosides	adenosine nucleosides salvage I
PWY-6610	adenine salvage	
PWY-6609	adenine and adenosine salvage III	adenosine nucleotides salvage III
PWY-6619	adenine and adenosine salvage VI	
PWY-6618	guanine and guanosine salvage III	
PWY-6599	guanine and guanosine salvage II	
PWY-6579	superpathway of guanine and guanosine salvage	
PWY-6620	guanine and guanosine salvage	
PWY-7176	UTP and CTP <i>de novo</i> biosynthesis	
PWY-5686	UMP biosynthesis	uridine-5'-phosphate biosynthesis	<i>de novo</i> biosynthesis of uridine-5'-phosphate	<i>de novo</i> biosynthesis of uridine-5'-monophosphate
PWY0-162	superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis	pyrimidine biosynthesis
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	
PWY-7210	pyrimidine deoxyribonucleotides biosynthesis from CTP	
PWY-6556	pyrimidine ribonucleosides salvage II	
PWY-7195	pyrimidine ribonucleosides salvage III	
