#110000
#110001
#110101
#110100
#010100
#010101
#001100
#001101
#011110
#011111
#001001
#001000
#011011
#011010
#000110
#000111
#000011
#000010
PWY-5344	L-homocysteine biosynthesis
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I
PWY-6123	inosine-5'-phosphate biosynthesis I;IMP biosynthesis I
VALSYN-PWY	L-valine biosynthesis
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I
PWY-4261	glycerol degradation I
PWY-7187	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II
MENAQUINONESYN-PWY	menaquinol-8 biosynthesis;vitamin K<sub>2</sub> biosynthesis I;menaquinone-8 biosynthesis
HOMOSERSYN-PWY	L-homoserine biosynthesis
PWY-5340	sulfate activation for sulfonation;sulfation pathway
PLPSAL-PWY	pyridoxal 5'-phosphate salvage I;vitamin B<sub>6</sub> salvage I
PWY-5973	<i>cis</i>-vaccenate biosynthesis;<i>cis</i> vaccenic acid acid biosynthesis
PWY-5971	palmitate biosynthesis II (bacteria and plants);palmitic acid biosynthesis;de novo lipogenesis
PWY0-1338	polymyxin resistance;L-Ara4N-modified lipid A biosynthesis;4-amino-4-deoxy-L-arabinose-modified lipid A biosynthesis
PWY0-1535	D-serine degradation
GLUCONEO-PWY	gluconeogenesis I
PWY0-501	lipoate biosynthesis and incorporation I
PWY-7206	pyrimidine deoxyribonucleotides dephosphorylation
PWY-6268	adenosylcobalamin salvage from cobalamin;vitamin B<sub>12</sub> biosynthesis
GLUTSYN-PWY	L-glutamate biosynthesis I
HISTSYN-PWY	L-histidine biosynthesis
GLNSYN-PWY	L-glutamine biosynthesis I;L-glutamine - L-glutamate pathway
PWY-6387	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)
PWY-6700	queuosine biosynthesis
PWY-6703	preQ<sub>0</sub> biosynthesis;deazapurine biosynthesis
GLUT-REDOX-PWY	glutathione-glutaredoxin redox reactions
PWY-6543	4-aminobenzoate biosynthesis;pABA biosynthesis;plastidial PABA biosynthesis;PABA biosynthesis in plastids;<i>p</i>-aminobenzoate biosynthesis
FAO-PWY	fatty acid &beta;-oxidation I
PWY-2161	folate polyglutamylation
PROSYN-PWY	L-proline biosynthesis I
UDPNAGSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I;UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis
SALVADEHYPOX-PWY	adenosine nucleotides degradation II;purine ribonucleotide/ribonucleoside metabolism
PWY-1269	CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis;CMP-Kdo biosynthesis I
PWY-5964	guanylyl molybdenum cofactor biosynthesis;MGD biosynthesis;molybdopterin guanine dinucleotide biosynthesis
PWY-5123	<i>trans, trans</i>-farnesyl diphosphate biosynthesis;FPP biosynthesis;<i>trans, trans</i>-farnesyl diphosphate biosynthesis
PWY0-901	L-selenocysteine biosynthesis I (bacteria)
GLUTDEG-PWY	L-glutamate degradation II;L-glutamate - L-aspartate pathway;L-aspartate degradation
PWY0-1329	succinate to cytochrome <i>bo</i> oxidase electron transfer
KDOSYN-PWY	Kdo transfer to lipid IV<sub>A</sub> I
PWY0-1544	proline to cytochrome <i>bo</i> oxidase electron transfer
PWY0-1241	ADP-L-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose biosynthesis
MANNCAT-PWY	D-mannose degradation;mannose degradation
DAPLYSINESYN-PWY	L-lysine biosynthesis I;L-lysine and L-diaminopimelate biosynthesis
PWY-7219	adenosine ribonucleotides <i>de novo</i> biosynthesis
PWY0-981	taurine degradation IV
DETOX1-PWY	superoxide radicals degradation;removal of superoxide radicals
PWY-6823	molybdenum cofactor biosynthesis;moco biosynthesis;molybdopterin biosynthesis
PWY-6163	chorismate biosynthesis from 3-dehydroquinate
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)
#111110
#100001
#100000
#010001
#010000
PWY-7664	oleate biosynthesis IV (anaerobic);<i>cis</i>-7-hexadecenoate biosynthesis;<i>cis</i>-9-octadecenoate biosynthesis;(7<i>Z</i>)-hexadec-7-enoate biosynthesis;(9<i>Z</i>)-octadec-9-enoate biosynthesis;(7<i>Z</i>)-hexadecenoate biosynthesis;(9<i>Z</i>)-octadecenoate biosynthesis
PWY66-21	ethanol degradation II
GLYSYN-ALA-PWY	glycine biosynthesis III
PWY-5489	methyl parathion degradation
GALLATE-DEGRADATION-II-PWY	gallate degradation I
TRPIAACAT-PWY	L-tryptophan degradation VII (via indole-3-pyruvate)
PWY-5490	paraoxon degradation
PWY-7248	pectin degradation III
P163-PWY	L-lysine fermentation to acetate and butanoate;3-keto-5-aminohexanoate pathway;L-lysine fermentation to acetate and butyrate
PWY-2503	benzoate degradation I (aerobic)
PWY-6305	putrescine biosynthesis IV;putrescine biosynthesis in plants;ODC and ADC putrescine biosynthesis
PWY-6987	lipoate biosynthesis and incorporation III (Bacillus)
PWY-7013	L-1,2-propanediol degradation;propylene glycol degradation
PWY-5097	L-lysine biosynthesis VI
PWY-6221	2-chlorobenzoate degradation
PWY-7199	pyrimidine deoxyribonucleosides salvage
PWY-1622	formaldehyde assimilation I (serine pathway)
PARATHION-DEGRADATION-PWY	parathion degradation
PWY-7560	methylerythritol phosphate pathway II;nonmevalonate isopentenyl diphosphate biosynthesis;methylerythritol phosphate degradation;MEP degradation;deoxyxylulose phosphate pathway;DOXP pathway;Rohmer pathway;isopentenyl diphosphate biosynthesis -- mevalonate-independent;nonmevalonate isoprenoid pathway;MEP pathway
PWY-1881	formate oxidation to CO<sub>2</sub>
PWY-6348	phosphate acquisition
PWY-2622	trehalose biosynthesis IV
PWY-6131	glycerol degradation II
PWY-6130	glycerol degradation III;glycerol fermentation to 1,3-propanediol;glycerol fermentation to PDO
PWY-6507	4-deoxy-L-<i>threo</i>-hex-4-enopyranuronate degradation;5-dehydro-4-deoxy-D-glucuronate degradation
PWY-5939	(<i>R</i>)-acetoin biosynthesis II;D-acetoin biosynthesis II
PWY-5851	demethylmenaquinol-9 biosynthesis;demethylmenaquinone-9 biosynthesis
PWY-5443	aminopropanol phosphate biosynthesis I;1-amino-propan-2-yl phosphate biosynthesis from threonine;(<i>R</i>)-1-amino-2-propanol <i>O</i>-2-phosphate biosynthesis
PWY-6526	limonene degradation III (to perillate)
SHIKIMATEDEG-PWY	shikimate degradation I
CRNFORCAT-PWY	creatinine degradation I;creatinine catabolism
REDCITCYC	TCA cycle VIII (helicobacter);Krebs cycle;tricarboxylic acid cycle;TCA cycle;citric acid cycle
RIBITOLUTIL-PWY	ribitol degradation
PWY-6389	(<i>S</i>)-acetoin biosynthesis;L-acetoin biosynthesis
LIPASYN-PWY	phospholipases;phospholipase pathway
PWY-7098	vanillin and vanillate degradation II
P562-PWY	<I>myo</I>-inositol degradation I
PWY-5629	isopenicillin N biosynthesis
PWY-5169	cyanurate degradation;cyanuric acid degradation
QUINATEDEG-PWY	quinate degradation I
PWY-6754	<i>S</i>-methyl-5'-thioadenosine degradation I
PWY-7394	urate degradation to allantoin II
PWY-621	sucrose degradation III (sucrose invertase);sucrose mobilization
PWY-6938	NADH repair
PWY-5703	urea degradation I
PWY-2361	3-oxoadipate degradation;&beta;-ketoadipate degradation
PWY-5142	acyl-ACP thioesterase pathway
PWY-5963	thio-molybdenum cofactor biosynthesis;molybdenum cofactor (sulfide) biosynthesis
PWY-1001	cellulose biosynthesis
PWY-6317	D-galactose degradation I (Leloir pathway);Leloir pathway
PWY-6992	1,5-anhydrofructose degradation
PWY66-422	D-galactose degradation V (Leloir pathway);Leloir pathway
PWY-6021	nitrilotriacetate degradation
P121-PWY	adenine and adenosine salvage I;purine salvage;salvage pathway of adenosine nucleosides;adenosine nucleosides salvage I
PWY-5480	pyruvate fermentation to ethanol I
PWY-5481	pyruvate fermentation to lactate
PWY-7663	gondoate biosynthesis (anaerobic);<i>cis</i>-11-icosenoate biosynthesis;(11<i>Z</i>)-icos-11-enoate biosynthesis;(11<i>Z</i>)-icosenoate biosynthesis;gondoic acid biosynthesis;11-eicosenoic acid biosynthesis
PWY-5389	3-methylthiopropanoate biosynthesis;methylthiopropionate biosynthesis
PWY-6536	4-aminobutanoate degradation III;&gamma;-amino-butyrate shunt;GABA degradation
PWY-6622	heptadecane biosynthesis;alkane biosynthesis
PWY-6854	ethylene biosynthesis III (microbes)
PWY-4361	<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation
PWY-5418	phenol degradation I (aerobic)
PWY-6718	sulfoacetaldehyde degradation III
PWY-4081	glutathione-peroxide redox reactions
PWY-5839	menaquinol-7 biosynthesis;vitamin K<sub>2</sub> biosynthesis;menaquinone-7 biosynthesis
PWY-2242	ammonia oxidation III
PWY-5849	menaquinol-6 biosynthesis;vitamin K<sub>2</sub> biosynthesis;MK-6 biosynthesis;menaquinone-6 biosynthesis
P641-PWY	phenylmercury acetate degradation
PWY-5853	demethylmenaquinol-6 biosynthesis I;DMK-6 biosynthesis;demethylmenaquinone-6 biosynthesis
PWY-5844	menaquinol-9 biosynthesis;vitamin K<sub>2</sub> biosynthesis;menaquinone-9 biosynthesis
PWY-6502	oxidized GTP and dGTP detoxification;8-oxo-(d)GTP detoxification;oxidized guanosine triphosphate and deoxyguanosine triphosphate detoxification;8-oxo-7,8-dihydro-guanosine-triphosphate and 8-oxo-7,8-dihydro-deoxyguanosine-triphosphate
PWY66-389	phytol degradation
ARGSPECAT-PWY	spermine biosynthesis
PWY-6610	adenine salvage
#101100
#111010
#111011
#101000
#101001
